Date;Open;High;Low;Close;Volume;Adj Close
2011-11-07;593,32;608,78;592,23;608,33;3357400;608,33
2011-11-04;593,5;599,74;592,43;596,14;2834800;596,14
2011-11-03;587;597,5;583,72;597,5;2669800;597,5
2011-11-02;584,9;587,96;580,48;584,82;2120900;584,82
2011-11-01;580,1;585,51;576,75;578,65;3125100;578,65
2011-10-31;595,09;599,69;591,67;592,64;2557800;592,64
2011-10-28;594,52;602,3;594,25;600,14;2508000;600,14
2011-10-27;598,42;602,7;593,3;598,67;3780300;598,67
2011-10-26;589,55;590,18;572,86;586,31;2873100;586,31
2011-10-25;593,1;595;582,85;583,16;2540500;583,16
2011-10-24;586,72;599,97;586,5;596,42;3426900;596,42
2011-10-21;589,51;592,75;586,7;590,49;3391000;590,49
2011-10-20;581,9;588,89;579,51;583,67;3379000;583,67
2011-10-19;587,34;592,06;579,22;580,7;2931500;580,7
2011-10-18;580,19;592,56;577,4;590,51;3800800;590,51
2011-10-17;583,72;591,83;578;582,41;4008200;582,41
2011-10-14;599,47;599,6;587,57;591,68;8529900;591,68
2011-10-13;550,03;559;548,02;558,99;5639600;558,99
2011-10-12;548,13;555,23;544,63;548,5;3177800;548,5
2011-10-11;533,46;546,8;533,46;543,18;2853400;543,18
2011-10-10;525,18;537,47;523,2;537,17;2322200;537,17
2011-10-07;516,83;520,5;510,3;515,12;2855900;515,12
2011-10-06;507,5;515,23;502,6;514,71;3424300;514,71
2011-10-05;496,35;507,8;480,77;504,7;4534100;504,7
2011-10-04;490,03;503,44;480,6;501,9;4158800;501,9
2011-10-03;509,85;512;495;495,52;4474400;495,52
2011-09-30;520,21;524;514,38;515,04;2723600;515,04
2011-09-29;536,04;537,3;519,41;527,5;2906600;527,5
2011-09-28;541,5;544,02;527,7;528,84;2263300;528,84
2011-09-27;538,2;547,05;536,05;539,34;3010900;539,34
2011-09-26;527,25;532,93;513,25;531,89;2634200;531,89
2011-09-23;516,56;526,42;514,5;525,51;2777300;525,51
2011-09-22;526,25;528,78;514;520,66;4400300;520,66
2011-09-21;547,69;555;538,86;539,2;2514300;539,2
2011-09-20;549,4;558,52;542,67;546,63;2779100;546,63
2011-09-19;540,35;549,9;535,38;546,67;2468400;546,67
2011-09-16;544,8;546,84;543,14;546,68;3534300;546,68
2011-09-15;535,5;544,98;534,56;542,56;2960800;542,56
2011-09-14;532,59;536,95;525,82;532,07;2694400;532,07
2011-09-13;532;533,88;523,4;529,52;2354200;529,52
2011-09-12;517,96;531,99;517,5;530,12;2670400;530,12
2011-09-09;531,4;534,65;521,19;524,85;3268800;524,85
2011-09-08;533,8;539,1;531,9;534,96;2380500;534,96
2011-09-07;530,45;535,94;527,4;534,03;2755800;534,03
2011-09-06;510,8;522,76;510,5;522,18;2715800;522,18
2011-09-02;524,47;527,92;520,73;524,84;2401200;524,84
2011-09-01;540,75;543,83;531,22;532,5;2415500;532,5
2011-08-31;544,74;546,3;536;540,96;2693300;540,96
2011-08-30;538,19;542,99;530,81;540,7;2989000;540,7
2011-08-29;534,56;539,45;533,56;539,08;2335800;539,08
2011-08-26;519,99;530,45;513,14;526,86;3596300;526,86
2011-08-25;530,38;537,27;518,3;520,04;3293000;520,04
2011-08-24;519,33;530;517,23;523,29;3594500;523,29
2011-08-23;503,5;521,41;499,06;518,82;4346800;518,82
2011-08-22;504;507;494,53;498,17;4905900;498,17
2011-08-19;499,34;514,87;490,86;490,92;5410000;490,92
